chr_name	chr_size	chr_sizerank
NW_020109896.1	2481	395
NW_020109897.1	2566	392
NW_020109898.1	2555	393
NW_020109899.1	2599	390
NW_020109900.1	2568	391
NW_020109901.1	2615	388
NW_020109902.1	2610	389
NW_020109903.1	2758	386
NW_020109904.1	2663	387
NW_020109905.1	2898	384
NW_020109906.1	2883	385
NW_020109907.1	2928	382
NW_020109908.1	2902	383
NW_020109909.1	2979	380
NW_020109910.1	2948	381
NW_020109911.1	2991	378
NW_020109912.1	2985	379
NW_020109913.1	3346	375
NW_020109914.1	3019	377
NW_020109915.1	3504	373
NW_020109916.1	3436	374
NW_020109917.1	3531	371
NW_020109918.1	3516	372
NW_020109919.1	3584	369
NW_020109920.1	3581	370
NW_020109921.1	3657	367
NW_020109922.1	3647	368
NW_020109923.1	3680	365
NW_020109924.1	3660	366
NW_020109925.1	3847	363
NW_020109926.1	3687	364
NW_020109927.1	3973	361
NW_020109928.1	3863	362
NW_020109929.1	4040	359
NW_020109930.1	4037	360
NW_020109931.1	4198	356
NW_020109932.1	4154	357
NW_020109933.1	4245	354
NW_020109934.1	4206	355
NW_020109935.1	4359	352
NW_020109936.1	4266	353
NW_020109937.1	4511	348
NW_020109938.1	4451	349
NW_020109939.1	4621	346
NW_020109940.1	4617	347
NW_020109941.1	4685	343
NW_020109942.1	4652	345
NW_020109943.1	4766	341
NW_020109944.1	4730	342
NW_020109945.1	4808	339
NW_020109946.1	4777	340
NW_020109947.1	5075	336
NW_020109948.1	5044	337
NW_020109949.1	5230	333
NW_020109950.1	5199	335
NW_020109951.1	5419	331
NW_020109952.1	5289	332
NW_020109953.1	5637	328
NW_020109954.1	5521	330
NW_020109955.1	5685	326
NW_020109956.1	5662	327
NW_020109957.1	5791	324
NW_020109958.1	5694	325
NW_020109959.1	6042	321
NW_020109960.1	5955	322
NW_020109961.1	6185	319
NW_020109962.1	6066	320
NW_020109963.1	6269	317
NW_020109964.1	6243	318
NW_020109965.1	6324	314
NW_020109966.1	6318	315
NW_020109967.1	6378	312
NW_020109968.1	6349	313
NW_020109969.1	6539	310
NW_020109970.1	6414	311
NW_020109971.1	6586	308
NW_020109972.1	6564	309
NW_020109973.1	6698	305
NW_020109974.1	6638	307
NW_020109975.1	6808	303
NW_020109976.1	6764	304
NW_020109977.1	6824	300
NW_020109978.1	6814	302
NW_020109979.1	6881	298
NW_020109980.1	6824	301
NW_020109981.1	6925	296
NW_020109982.1	6885	297
NW_020109983.1	7090	292
NW_020109984.1	6958	294
NW_020109985.1	7336	289
NW_020109986.1	7298	290
NW_020109987.1	7621	286
NW_020109988.1	7511	287
NW_020109989.1	7675	284
NW_020109990.1	7655	285
NW_020109991.1	7923	280
NW_020109992.1	7918	281
NW_020109993.1	8038	278
NW_020109994.1	8025	279
NW_020109995.1	8118	276
NW_020109996.1	8110	277
NW_020109997.1	8180	273
NW_020109998.1	8152	275
NW_020109999.1	8242	271
NW_020110000.1	8189	272
NW_020110001.1	8294	267
NW_020110002.1	8247	270
NW_020110003.1	8516	265
NW_020110004.1	8464	266
NW_020110005.1	8656	262
NW_020110006.1	8637	263
NW_020110007.1	8749	260
NW_020110008.1	8722	261
NW_020110009.1	8846	258
NW_020110010.1	8788	259
NW_020110011.1	8913	255
NW_020110012.1	8891	257
NW_020110013.1	8999	253
NW_020110014.1	8915	254
NW_020110015.1	9118	250
NW_020110016.1	9032	252
NW_020110017.1	9308	247
NW_020110018.1	9172	249
NW_020110019.1	9568	244
NW_020110020.1	9469	246
NW_020110021.1	9617	241
NW_020110022.1	9579	243
NW_020110023.1	9688	239
NW_020110024.1	9619	240
NW_020110025.1	9858	237
NW_020110026.1	9696	238
NW_020110027.1	9935	235
NW_020110028.1	9888	236
NW_020110029.1	10056	233
NW_020110030.1	10010	234
NW_020110031.1	10371	228
NW_020110032.1	10066	232
NW_020110033.1	10691	224
NW_020110034.1	10473	226
NW_020110035.1	10984	218
NW_020110036.1	10816	222
NW_020110037.1	11066	216
NW_020110038.1	10993	217
NW_020110039.1	11212	213
NW_020110040.1	11204	214
NW_020110041.1	11376	209
NW_020110042.1	11254	212
NW_020110043.1	11663	207
NW_020110044.1	11473	208
NW_020110045.1	11891	205
NW_020110046.1	11743	206
NW_020110047.1	11985	203
NW_020110048.1	11970	204
NW_020110049.1	12125	201
NW_020110050.1	12040	202
NW_020110051.1	12152	198
NW_020110052.1	12129	199
NW_020110053.1	12430	196
NW_020110054.1	12389	197
NW_020110055.1	12562	194
NW_020110056.1	12537	195
NW_020110057.1	12789	191
NW_020110058.1	12721	193
NW_020110059.1	12987	189
NW_020110060.1	12986	190
NW_020110061.1	13139	187
NW_020110062.1	13021	188
NW_020110063.1	13224	185
NW_020110064.1	13157	186
NW_020110065.1	13513	183
NW_020110066.1	13240	184
NW_020110067.1	13671	181
NW_020110068.1	13599	182
NW_020110069.1	13798	178
NW_020110070.1	13793	179
NW_020110071.1	13985	175
NW_020110072.1	13913	176
NW_020110073.1	14131	172
NW_020110074.1	14086	173
NW_020110075.1	14298	170
NW_020110076.1	14205	171
NW_020110077.1	14604	167
NW_020110078.1	14494	168
NW_020110079.1	14655	165
NW_020110080.1	14613	166
NW_020110081.1	14773	163
NW_020110082.1	14715	164
NW_020110083.1	15132	159
NW_020110084.1	15049	160
NW_020110085.1	15167	157
NW_020110086.1	15134	158
NW_020110087.1	15417	155
NW_020110088.1	15387	156
NW_020110089.1	15638	151
NW_020110090.1	15492	153
NW_020110091.1	15680	149
NW_020110092.1	15663	150
NW_020110093.1	16031	147
NW_020110094.1	15929	148
NW_020110095.1	16129	144
NW_020110096.1	16106	145
NW_020110097.1	16233	141
NW_020110098.1	16140	143
NW_020110099.1	16464	138
NW_020110100.1	16245	140
NW_020110101.1	17007	135
NW_020110102.1	16505	137
NW_020110103.1	17402	130
NW_020110104.1	17237	132
NW_020110105.1	18101	126
NW_020110106.1	18034	127
NW_020110107.1	18412	124
NW_020110108.1	18344	125
NW_020110109.1	18705	122
NW_020110110.1	18507	123
NW_020110111.1	19095	117
NW_020110112.1	18989	119
NW_020110113.1	19903	111
NW_020110114.1	19536	114
NW_020110115.1	20494	108
NW_020110116.1	20270	109
NW_020110117.1	20717	106
NW_020110118.1	20496	107
NW_020110119.1	21427	104
NW_020110120.1	21266	105
NW_020110121.1	21586	101
NW_020110122.1	21580	102
NW_020110123.1	21699	99
NW_020110124.1	21677	100
NW_020110125.1	22379	96
NW_020110126.1	21751	98
NW_020110127.1	22621	94
NW_020110128.1	22381	95
NW_020110129.1	22982	91
NW_020110130.1	22641	93
NW_020110131.1	23748	88
NW_020110132.1	23190	90
NW_020110133.1	23907	86
NW_020110134.1	23766	87
NW_020110135.1	24315	83
NW_020110136.1	24179	84
NW_020110137.1	25301	81
NW_020110138.1	24712	82
NW_020110139.1	25466	79
NW_020110140.1	25409	80
NW_020110141.1	26131	77
NW_020110142.1	25700	78
NW_020110143.1	26298	75
NW_020110144.1	26150	76
NW_020110145.1	26595	73
NW_020110146.1	26310	74
NW_020110147.1	26960	72
NW_020110148.1	34471	53
NW_020110149.1	34291	54
NW_020110150.1	42067	51
NW_020110151.1	39545	52
NW_020110152.1	52554	49
NW_020110153.1	48347	50
NW_020110154.1	61939	47
NW_020110155.1	53716	48
NW_020110156.1	177577	44
NW_020110157.1	94788	46
NW_020110158.1	468536	42
NW_020110159.1	199634	43
NW_020110160.1	696307	40
NW_020110161.1	665899	41
NW_020110162.1	1222195	37
NW_020110163.1	900507	38
NW_020110164.1	2003471	34
NW_020110165.1	1977309	35
NW_020110166.1	4360	351
NW_020110167.1	2023903	33
NW_020110168.1	7419	288
NW_020110169.1	4840	338
NC_001323.1	16775	136
