Marker	Chromosome	cM	Mbb										
rs14508809	5	0.0	1.6										
rs15343523	5	6.5	5.5										
rs14511732	5	19.9	9.4										
rs15661711	5	28.1	12.1										
rs13757471	5	33.1	14.4										
MCW0193	5	39.1	15.9										
RBL1369	5	43.2	17.3										
RBL2307	5	43.8	17.7										
rs15674552	5	48.0	18.5										
rs14693539	5	50.8	19.6										
MCW0038	5	55.6	21.6										
rs15679760	5	61.8	24.4										
rs13584119	5	75.4	29.8										
MCW0078	5	81.2	31.9										
rs13585490	5	84.7	36.3										
rs13586869	5	102.3	41.0										
MCW0029	5	106.0	44.2										
rs16498806	5	106.0	44.7										
LEI0149	5	108.7	46.5										
MCW0081	5	120.5	51.4										
rs16514663	5	136.3	56.1										
rs15743161	5	151.1	59.1										
rs16522750	5	164.1	61.3										
LEI0192	6	0.0	4.0										
MCW0118	6	0.7	4.0										
rs15758001	6	6.7	5.0										
rs16537104	6	16.5	8.5										
rs15778112	6	21.1	11.7										
rs15780532	6	23.2	12.9										
MCW0250	6	24.7	16.6										
rs15800133	6	44.5	25.4										
rs14588347	6	52.5	28.6										
ADL0377	6	56.2	29.7										
rs14591306	6	60.3	31.3										
LEI0196	6	60.9	31.3										
rs14593897	6	69.7	33.6										
rs14598438	7	0.0	1.5										
rs13739720	7	16.1	3.6										
rs13740451	7	31.0	5.4										
rs15837786	7	35.6	9.0										
rs13783972	7	36.6	11.3										
MCW0120	7	40.0	11.9										
rs14608276	7	44.5	13.1										
rs15852323	7	54.7	17.2										
rs15856536	7	61.5	20.6										
rs14616506	7	71.7	24.6										
ADL0279	7	74.3	25.3										
rs15870814	7	80.4	28.0										
MCW0236	7	87.6	29.7										
rs16604163	7	88.0	29.8										
rs15882678	7	97.8	33.3										
rs16612776	7	111.8	35.8										
ADL0169	7	120.2	38.0										
rs16620523	8	0.0	3.8										
MCW0305	8	25.7	7.0										
rs14642627	8	36.0	14.6										
rs14650356	8	71.3	22.3										
rs14652607	8	79.9	24.3										
rs16644389	8	83.1	25.9										
rs14655901	8	90.1	27.4										
ADL0172	8	97.2	28.8										
rs15940094	8	98.7	29.2										
ADL0278	8	100.3	29.9										
rs16650965	9	0.0	1.7										
MCW0024	9	53.2	4.9										
rs14669284	9	59.0	5.4										
rs15957507	9	65.9	8.3										
rs14662996	9	69.5	10.6										
MCW0135	9	73.0	13.7										
rs14674285	9	85.6	15.1										
rs14676340	9	100.3	16.9										
rs14678700	9	107.9	20.6										
ADL0219	9	121.4	22.6										
MCW0134	9	135.8	24.8										
MCW0228	10	0.0	0.7										
rs13999825	10	15.0	1.6										
ADL0209	10	31.7	4.1										
MCW0194	10	38.8	6.7										
rs14003423	10	40.0	7.4										
rs13799452	10	41.2	9.6										
MCW0067	10	41.9	9.6										
rs14006050	10	46.2	12.6										
ADL0272	10	46.5	12.7										
rs14009067	10	59.0	15.2										
ADL0106	10	65.0	16.5										
rs15589031	10	75.0	18.9										
ADL0158	10	77.1	19.4										
rs14013921	10	84.3	21.4										
rs14957451	11	0.0	0.9										
rs14958678	11	11.5	1.9										
rs14019836	11	14.1	5.2										
ADL0123	11	15.2	5.7										
rs14022357	11	27.6	na										
rs14963832	11	33.9	10.9										
rs14025658	11	38.1	13.8										
RBL3085	11	45.5	16.9										
ADL0308	11	48.7	17.4										
rs14966910	11	52.9	18.7										
ABR0037	11	69.5	20.6										
rs14030286	12	0.0	0.7										
ADL0372	12	0.2	0.7										
rs13621493	12	26.7	2.5										
LEI0131	12	37.5	4.9										
rs14035356	12	38.0	5.8										
rs14039242	12	44.0	9.2										
ADL0044	12	54.1	12.3										
LEI0099	12	54.5	12.4										
rs15662367	12	63.4	14.7										
rs14046447	12	76.1	17.3										
rs14048107	12	81.6	18.7										
rs15675703	13	0.0	0.7										
rs14990028	13	30.2	5.2										
rs14051703	13	32.0	6.9										
ADL0147	13	34.0	8.1										
rs14994099	13	35.0	8.3										
RBL3916	13	36.8	8.9										
ROS00325	13	38.9	9.4										
MCW0213	13	42.0	10.4										
MCW0315	13	59.0	14.4										
rs14998975	13	60.9	14.9										
rs14064615	13	70.6	17.0										
ADL0225	13	71.7	17.2										
rs15000764	13	73.9	18.4										
ADL0118	14	0.0	0.1										
rs13530010	14	0.1	0.3										
MCW0296	14	0.9	1.5										
rs13531951	14	28.3	5.1										
rs15008964	14	34.4	6.8										
rs15010436	14	37.1	8.9										
LEI0066	14	74.5	14.7										
rs15763765	15	0.0	1.9										
LEI0083	15	3.9	2.8										
rs15019494	15	5.7	4.0										
ADL0039	15	11.6	5.7										
rs15021350	15	15.0	6.4										
rs14092594	15	25.4	8.2										
rs15024160	15	31.0	9.7										
MCW0211	15	40.0	10.8										
rs15026117	15	53.3	11.9										
rs15788101	16	0.0	1.0										
rs15026773	16	0.0	0.1										
rs15026791	16	0.0	0.1										
ADL0199	17	0.0	0.7										
rs14104304	17	4.4	1.7										
rs13734134	17	19.9	3.5										
ADL0149	17	33.9	5.7										
rs15031008	17	35.8	5.9										
rs15029104	17	48.5	8.1										
rs15027463	17	54.6	9.6										
rs15027195	17	54.7	10.1										
rs14106100	18	0.0	1.0										
rs14108386	18	15.1	2.7										
MCW0217	18	18.8	3.2										
rs13507726	18	32.3	4.9										
ADL0184	18	32.9	5.0										
rs14113801	18	41.3	8.0										
rs15833225	18	45.1	9.0										
rs14115711	19	0.0	0.9										
rs14116385	19	7.3	1.5										
rs14118674	19	22.8	3.3										
rs15047231	19	27.7	4.3										
rs15048343	19	34.4	5.6										
rs15848432	19	37.3	6.1										
rs14122543	19	40.6	7.2										
rs14124079	19	46.6	9.6										
MCW0119	20	0.0	0.4										
rs15169246	20	7.3	0.9										
ADL0125	20	28.4	3.1										
rs15171181	20	32.4	3.4										
rs14272231	20	37.9	4.7										
rs15173767	20	43.8	6.2										
rs14274909	20	45.3	7.1										
rs14276041	20	48.3	8.1										
rs14278769	20	65.0	10.8										
rs13635174	20	68.6	11.9										
MC3R-NA-1035	20	68.8	12.0										
MC3R_PYRO	20	68.8	12.0										
rs13795178	20	71.8	13.9										
rs13602346	21	0.0	0.4										
rs14282175	21	14.0	1.5										
rs14283139	21	18.2	2.6										
rs15182893	21	25.0	3.4										
rs16181928	21	46.1	5.2										
rs14286166	21	61.5	6.6										
rs15191004	22	0.0	2.9										
rs13820393	22	2.7	3.4										
rs14287506	23	0.0	0.2										
rs15194003	23	7.9	1.0										
rs14289029	23	16.8	1.8										
rs15205573	23	47.4	5.0										
rs15207546	23	49.7	5.6										
rs13603923	24	0.0	0.5										
rs16194400	24	3.1	1.8										
RBL1526	24	7.4	2.3										
rs14294624	24	11.4	2.9										
ROS00302	24	15.4	na										
LEI0069	24	39.9	5.1										
rs14297486	24	51.5	6.1										
rs16740409	25	0.0	na										
RBL3432	25	17.4	0.8										
RBL4442	25	38.6	na										
RBL625	25	40.4	na										
rs14710054	25	40.5	na										
RBL2937	25	53.1	1.9										
rs14416247	26	0.0	0.4										
SNP-152-100-21801-S-1	26	2.0	na										
rs16200368	26	6.3	1.4										
MCW0286	26	13.6	1.9										
MCW0209	26	15.9	2.1										
MCW0069	26	18.9	2.4										
rs16202845	26	32.4	3.3										
LEI0074	26	52.9	4.7										
RBL280	27	0.0	0.4										
rs15241802	27	0.9	1.2										
rs14301476	27	4.7	1.5										
rs13620274	27	9.0	2.1										
MCW0076	27	33.0	na										
rs14303776	27	38.6	3.4										
ADL0376	27	47.6	3.9										
MCW0292	27	57.4	na										
rs16208538	27	59.0	4.2										
rs15245588	28	0.0	0.7										
rs14306112	28	33.7	2.1										
rs16211629	28	37.7	2.4										
MCW0227	28	41.5	2.5										
rs16212707	28	51.7	4.1										
MCW0188	LG1	0.0	na										
ROS00306	LG1	1.9	na										
RBL3889	LG1	3.3	31.4										
RBL4985	LG1	5.1	38.3										
RBL4854	LG1	22.9	42.0										
rs15989709	LG1	23.5	na										
RBL1494	LG1	25.5	0.9										
GCT004	Chr_UN		na										
rs16748775	Chr_UN		na										
