chr	pos	scoreA	scoreB
chr2-2	129.2934	79.49782	2.558559
chr2-2	129.5435	83.97962	1.888612
chr2-2	129.948	112.4004	0.9455679
chr2-2	130.1131	121.435	1.188674
chr2-2	131.2426	167.8032	0.5317016
chr2-2	131.8934	143.7748	1.372865
chr2-2	132.3012	148.0252	1.178776
chr2-2	132.7027	157.6722	0.98255
chr2-2	132.8199	167.8395	0.8291538
chr2-2	132.9454	193.1651	0.9516003
chr20	7.109709	99.1371	24.29057
chr20	7.174644	101.8441	33.74332
chr20	7.203668	99.99869	35.96656
chr20	7.429916	96.74432	38.17596
chr20	7.79796	102.8822	45.62034
chr20	8.074519	124.0323	64.4808
chr20	8.419849	169.36	73.9935
chr20	8.956572	170.3138	96.1157
chr20	9.100162	185.32	120.2279
chr20	9.134134	184.9513	127.7687
chr20	9.279325	155.0858	74.64129
chr20	9.630881	116.531	27.44053
chr20	9.662289	122.2932	24.97556
chr20	10.14491	145.0044	28.76703
chr20	10.26674	153.2549	22.95434
chr20	10.6285	154.299	19.39498
chr20	10.79732	166.7721	24.49526
chr20	11.02375	208.9029	31.66851
chr20	11.13793	228.1356	29.18198
chr20	11.44074	220.176	22.35111
chr20	11.65255	223.7912	19.30145
chr20	11.94843	204.496	13.08947
chr20	12.28807	178.0042	7.030353
chr20	12.40082	192.3917	8.671775
chr20	12.57489	198.5017	9.490042
chr20	12.59697	199.6288	9.024196
chr20	13.00063	206.4429	3.7769
chr20	13.09295	217.5298	3.244539
chr20	13.20161	222.2973	3.140125
chr20	13.36518	229.0029	3.68382
chr20	13.42753	237.7511	3.6664
chr3	24.02984	132.8761	0.7579885
chr3	24.48135	114.9248	0.7588261
chr3	25.16182	331.9475	19.02881
chr3	25.27751	307.8272	20.31748
chr3	26.21517	284.7603	23.71467
chr3	26.3689	274.2737	24.18057
chr3	26.68875	187.3697	23.08202
chr3	27.50794	194.147	23.82495
chr3	27.80781	180.9365	15.62968
chr3	27.87249	201.5762	16.31161
chr3	28.21568	284.2584	27.33986
chr3	28.22113	291.1313	27.87355
chr3	28.76845	420.1183	34.31376
chr3	29.53949	306.8277	22.99126
chr3	29.96123	294.9781	29.70937
chr3	30.16007	267.0738	25.11466
chr3	30.4137	284.3373	22.85841
chr3	30.83013	294.8192	27.88564
chr3	31.47832	308.3112	27.61696
chr3	31.8226	346.8776	37.75114
chr3	32.70301	387.2087	38.13301
chr3	33.11086	445.3803	31.79095
chr3	33.67283	475.9087	35.9095
chr3	33.70943	469.3819	34.61745
chr3	33.88278	449.2947	31.36709
chr3	34.27527	438.7727	26.92427
chr3	34.29693	458.5359	25.47082
chr3	34.80369	470.7654	23.12361
chr3	35.27526	481.9655	26.9726
chr3	35.53537	467.9514	25.83583
chr3	35.79826	501.8102	24.59363
chr3	35.97567	453.6189	24.63771
chr3	36.90275	472.642	13.27462
chr3	37.34527	506.6415	7.65831
chr3	37.77485	533.1225	11.78303
chr3	38.22756	490.8177	9.98324
chr3	38.62159	462.6382	8.64276
chr3	38.80532	436.9929	6.994317
chr3	38.97642	384.6131	3.684724
chr3	39.15024	337.3806	2.152741
chr3	39.55439	287.7052	0.9741746
chr3	39.62172	240.2722	0.2831212
chr3	39.73974	208.458	0.1702747
chr3	41.95723	212.6929	0.5159482
chr3	42.38318	211.8869	0.0927655
chr3	43.19307	189.1069	0.08795348
chr3	44.01607	190.468	0.1779145
chr3	44.29201	176.7662	0.2732231
chr3	44.50055	151.502	0.7319524
chr3	44.78907	133.4535	0.5091883
chr3	44.8026	114.5804	0.7826535
chr3	45.14705	101.3153	1.135597
chr3	45.73854	79.22803	2.290141
chr3	45.99395	71.35148	2.7899
chr3	46.24618	65.91376	2.469678
chr3	46.46676	64.77737	2.495944
chr3	47.07225	60.75528	2.352325
chr3	47.48835	56.78566	2.541426
chr3	47.87416	47.81661	2.527503
chr3	48.52114	43.91449	2.085348
chr3	49.53789	51.1313	1.744376
chr3	49.74174	57.60094	1.386428
chr3	50.26665	73.04609	0.6824542
chr3	50.75182	83.5852	0.2494557
chr3	51.0975	86.5473	0.128328
chr3	51.2676	85.15055	0.08478377
chr3	51.87794	78.76454	0.09763516
chr3	52.06034	84.00384	0.237207
chr3	63.06463	82.77462	0.6207857
chr3	65.12105	94.63554	0.6639627
chr3	65.59329	55.16236	0.6597168
chr3	66.73475	51.34336	0.01953245
chr4-1	1.354213	91.90327	1.447433
chr4-1	1.882453	79.80473	0.2893284
chr4-1	2.133403	99.70789	0.9068728
chr4-1	2.279479	107.8072	0.7187304
chr4-1	2.701107	90.02349	1.315561
chr4-1	3.19485	96.77632	1.167297
chr4-1	3.445978	126.521	0.5089478
chr4-1	4.098762	130.8211	0.5973575
chr4-1	5.113996	111.0327	0.5349007
chr4-1	5.239913	119.4252	0.2967471
chr4-1	6.618098	120.932	0.6485187
chr4-1	6.757557	122.917	0.7527798
chr4-1	7.575682	130.8373	1.311519
chr4-1	8.665756	131.4663	2.266863
chr4-1	9.084299	158.4795	4.892142
chr4-1	9.401881	169.2804	4.665331
chr4-1	11.43162	178.443	8.438295
chr4-1	11.7595	189.1182	7.19174
chr4-1	11.89025	183.4448	5.351415
chr4-1	12.0187	184.7492	5.954971
chr4-1	12.15719	180.6106	6.158691
chr4-1	12.22044	185.394	6.122589
chr4-1	12.43313	247.5314	7.160419
chr4-1	12.63565	264.3608	6.669257
chr4-1	13.19603	278.9725	4.373715
chr4-2	85.45994	90.91209	0.8220755
chr4-2	85.98644	81.35969	0.2212449
chr4-2	86.19893	84.4879	0.03288665
chr4-2	86.2737	87.60418	0.03394733
chr4-2	86.54733	87.55464	0.3351271
chr4-2	86.75527	89.702	0.9675845
chr4-2	87.00882	101.7952	1.608436
chr4-2	87.17723	132.3414	1.588405
chr4-2	87.61197	165.1587	0.779417
chr4-2	87.82467	193.6347	0.6924272
chr4-2	88.03193	219.6099	0.9553364
chr4-2	88.32512	235.5506	0.6934368
chr4-2	88.36112	259.6839	0.8188804
chr4-2	88.64402	275.8034	1.059676
chr5	33.69679	186.7762	4.720792
chr5	35.42284	245.8986	13.28514
chr5	36.29128	228.0298	13.71517
chr5	38.64807	163.7188	11.61846
chr7	10.91682	109.4829	0.223254
chr7	11.40218	104.0569	0.1985232
chr7	12.32401	90.31345	0.1975131
chr7	12.95144	81.2759	0.3481458
chr7	13.14138	75.8491	0.93373
chr7	13.43409	78.17124	0.7350883
chr7	13.73136	82.27247	0.6464415
chr7	14.24635	82.59895	0.4626027
chr7	14.64694	79.19416	0.226664
chr7	14.9254	81.47884	0.1744515
chr7	15.11218	81.13614	0.1216164
chr7	15.89189	76.96691	0.1938355
chr7	16.08078	82.58734	0.1704718
chr7	16.17102	89.3016	0.328669
chr7	16.44677	98.34865	0.9461754
chr7	16.48624	102.912	1.281177
chr7	16.62149	106.7421	1.725848
chr7	16.89366	109.7331	2.296076
chr7	17.16555	131.2908	7.178321
chr7	17.26526	152.1733	6.289118
chr7	17.35893	150.5928	6.166073
chr7	17.51489	167.0741	5.141824
chr7	17.90729	165.602	3.464297
chr7	17.9628	150.55	3.214657
chr7	18.00055	152.1366	4.085229
chr7	18.69349	149.1962	4.781732
chr7	18.74984	155.5232	5.895504
chr7	19.06116	162.7139	7.082976
chr7	19.30227	170.9614	8.061974
chr7	19.38361	177.5339	8.942572
chr7	19.51016	183.8366	9.891475
chr7	19.66916	190.4282	10.95665
chr7	19.77235	196.7232	12.09852
chr7	20.03677	202.7021	13.31476
chr7	20.22471	202.5206	15.27401
chr7	20.23261	208.7411	16.72419
chr7	20.33293	214.7288	18.27273
chr7	20.41426	221.4274	20.09337
chr7	20.47171	228.992	22.31037
chr7	20.60046	232.4311	23.96409
chr7	20.87182	236.7518	25.10916
chr7	21.11899	239.9523	26.03136
chr7	21.58569	242.0352	26.7106
chr7	21.75509	234.4017	25.80371
chr7	22.14466	210.6551	23.59702
chr7	22.39004	195.6902	22.03628
chr7	22.73415	178.9349	20.26228
chr7	23.42504	165.4776	15.32781
chr7	23.44723	211.3482	22.25471
chr7	23.96428	263.6194	30.40812
chr7	24.30421	292.4642	35.08538
chr7	24.44542	302.2508	36.81851
chr7	24.59904	276.2251	30.71955
chr7	24.67429	237.5926	23.28304
chr7	25.02099	193.5039	15.85719
chr7	25.24036	151.1396	9.590432
chr7	25.59279	129.356	7.133229
chr7	26.00307	156.3113	14.6017
chr7	26.2457	145.0673	14.64984
chr7	26.4314	151.6511	16.34384
chr7	26.73506	172.9571	20.20939
chr7	27.21113	184.2016	20.95232
chr7	27.51887	183.1192	18.32148
chr7	27.70544	85.07481	4.475298
chr7	27.78242	107.7968	7.185708
chr7	27.8774	131.0461	10.68725
chr7	27.99183	155.4392	14.52258
chr7	28.00141	151.558	15.19392
chr7	28.23633	143.4421	15.16591
chr7	28.30997	177.1926	12.88653
chr7	28.61463	236.4645	14.07822
chr7	28.6256	246.9549	15.46475
chr7	28.70013	223.8364	9.675173
chr7	28.7773	224.5936	9.029268
chr7	29.23256	250.7736	6.977139
chr7	29.25347	240.3119	5.395339
chr7	29.53303	214.9537	3.984223
chr7	29.55284	176.5823	2.088645
chr7	29.7418	137.4617	0.9420859
chr7	29.75565	125.0457	0.88111
chr7	29.92393	111.0082	0.9003857
chr7	30.09285	102.9333	1.120998
chr7	30.36828	91.99008	1.238843
chr7	30.67281	88.48912	0.728638
chr7	30.97991	90.9019	0.8123442
chr7	31.148	109.2664	0.7575573
chr7	31.27005	123.7541	0.5865154
chr7	31.47258	139.1363	0.3544269
chr7	31.89811	194.1792	0.5268605
chr7	32.25185	259.8791	0.912056
chr7	32.63352	261.4481	1.562528
chr7	32.70158	274.2199	1.486454
chr7	32.81303	288.3003	1.364233
chr7	32.87994	294.0898	1.160014
chr7	33.16935	290.3678	0.9084043
chr7	33.29976	293.0801	0.1113615
chr7	33.33185	283.5008	0.05650125
chr7	33.36189	292.6253	0.06391434
chr7	34.88485	297.2136	0.3054052
chr7	35.10984	275.6603	0.7455509
chr7	35.49171	211.8757	1.135038
chr7	36.59506	253.1559	3.333971
chr7	37.41644	264.5835	2.619815
chr7	37.44589	341.5907	2.195552
